pred,800,2,13.64,5.8,,TRUE,800,2,13.64,5.8,,pred,0,1,13.44872051,3.937886695,,TRUE,0,1,13.44872051,3.937886695,,pred,0,1,0.295,8.091,,TRUE,0,1,0.294651153,8.09056721
,810,2,12.09,5.75,,,810,2,12.09,5.75,,,10,1,12.93518564,3.937886695,,,10,1,12.93518564,3.937886695,,,10,1,1.031,7.852,,,10,1,1.031279037,7.851907411
,820,2,11.37,5.8,,,820,2,11.37,5.8,,,20,1,12.42165077,3.937886695,,,20,1,12.42165077,3.937886695,,,20,1,1.768,7.613,,,20,1,1.767906921,7.613247611
,830,2,10.31,5.97,,,830,2,10.31,5.97,,,30,1,11.91927055,3.957695459,,,30,1,11.91927055,3.957695459,,,30,1,2.515,7.364,,,30,1,2.51547899,7.36408678
,840,2,9.57,6.24,,,840,2,9.57,6.24,,,40,1,11.42825545,3.997551645,,,40,1,11.42825545,3.997551645,,,40,1,3.279,7.099,,,40,1,3.279256873,7.098697083
,850,2,8.73,6.34,,,850,2,8.73,6.34,,,50,1,10.93724035,4.037407832,,,50,1,10.93724035,4.037407832,,,50,1,4.043,6.834,,,50,1,4.043245221,6.833546045
,860,2,7.94,6.5,,,860,2,7.94,6.5,,,60,1,10.46748223,3.99182381,,,60,1,10.46748223,3.99182381,,,60,1,4.851,6.618,,,60,1,4.850799847,6.618036246
,870,2,7.17,6.62,,,870,2,7.17,6.62,,,70,1,10.01940201,3.86079958,,,70,1,10.01940201,3.86079958,,,70,1,5.677,6.424,,,70,1,5.677085867,6.423528509
,880,2,9.187,6.527,,,880,2,6.47,6.68,,,80,1,9.57132179,3.73001401,,,80,1,9.57132179,3.73001401,,,80,1,5.435,5.874,,,80,1,6.503371887,6.229020773
,890,2,7.581,6.709,,,890,2,5.86,6.82,,,90,1,9.093565992,3.594932563,,,90,1,9.093565992,3.594932563,,,90,1,6.172,5.282,,,90,1,7.32355442,6.047877985
,900,2,9.829,5.8,,,900,2,5.24,6.98,,,100,1,8.571402055,3.453407302,,,100,1,8.571402055,3.453407302,,,100,1,5.681,5.65,,,100,1,8.143526487,5.866973856
,910,2,8.402,6.164,,,910,2,4.87,7.16,,,110,1,8.049027653,3.3121207,,,110,1,8.049027653,3.3121207,,,110,1,6.283,5.294,,,110,1,8.967286926,5.692513543
,920,2,9.392,6.035,,,920,2,4.51,7.58,,,120,1,7.519286972,3.236226884,,,120,1,7.519286972,3.236226884,,,120,1,6.109,5.24,,,120,1,9.823669457,5.57724086
,930,2,5.302,8.041,,,930,2,4.2,7.3,,,130,1,6.985968384,3.188494924,,,130,1,6.985968384,3.188494924,,,130,1,6.476,4.654,,,130,1,10.68005199,5.461968176
,940,2,6.842,7.866,,,940,2,3.95,7.71,,,140,1,6.452860261,3.140762964,,,140,1,6.452860261,3.140762964,,,140,1,6.566,5.719,,,140,1,11.52654266,5.339535699
,950,2,9.483,7.053,,,950,2,3.47,7.86,,,150,1,5.909860278,3.10973719,,,150,1,5.909860278,3.10973719,,,150,1,7.624,4.441,,,150,1,12.33325542,5.188464046
,960,2,9.248,5.918,,,960,2,2.82,8,,,160,1,5.362650993,3.08587121,,,160,1,5.362650993,3.08587121,,,160,1,9.399,2.555,,,160,1,13.13996819,5.037392393
,970,2,7.911,6.606,,,970,2,2.01,8,,,170,1,4.815441708,3.06200523,,,170,1,4.815441708,3.06200523,,,170,1,4.178,5.324,,,170,1,13.95152165,4.893719193
,980,2,7.614,6.756,,,980,2,1.28,7.82,,,180,1,4.303380097,2.985156775,,,180,1,4.303380097,2.985156775,,,180,1,7.573,3.366,,,180,1,14.7824379,4.780833108
,990,2,7.274,6.986,,,990,2,0.54,7.4,,,190,1,3.806471973,2.885874298,,,190,1,3.806471973,2.885874298,,,190,1,5.814,4.596,,,190,1,15.61314369,4.667708363
,830,3,12.49,6.6,,,830,3,12.49,6.6,,,200,1,3.309563849,2.786353162,,,200,1,3.309563849,2.786353162,,,10,2,0.279,9.989,,,10,2,0.2792872,9.989105917
,840,3,11.94,6.77,,,840,3,11.94,6.77,,,210,1,2.816444097,2.690411922,,,210,1,2.816444097,2.690411922,,,20,2,1.064,9.859,,,20,2,1.063901129,9.858797666
